tiempo,origin,timestamp,class,details
2024-02-29 18:36:13.210474,NodoTest001,717459,received,1709242572972
2024-02-29 18:36:13.414680,NodoTest001,717650,received,1709242573071
2024-02-29 18:36:13.423357,NodoTest001,717662,received,1709242573171
2024-02-29 18:36:13.429033,NodoTest001,717683,keepAlive,
2024-02-29 18:36:13.437021,NodoTest001,717854,received,1709242573272
2024-02-29 18:36:13.620068,NodoTest001,717867,received,1709242573372
2024-02-29 18:36:13.671377,NodoTest001,718060,received,1709242573471
2024-02-29 18:36:13.679381,NodoTest001,718072,received,1709242573572
2024-02-29 18:36:13.707413,NodoTest001,718132,received,1709242573671
2024-02-29 18:36:13.809143,NodoTest001,718232,received,1709242573771
2024-02-29 18:36:13.909506,NodoTest001,718335,received,1709242573872
2024-02-29 18:36:14.008255,NodoTest001,718433,received,1709242573972
2024-02-29 18:36:14.106516,NodoTest001,718532,received,1709242574071
2024-02-29 18:36:14.207448,NodoTest001,718632,received,1709242574172
2024-02-29 18:36:14.292554,NodoTest001,718683,keepAlive,
2024-02-29 18:36:14.440080,NodoTest001,718733,received,1709242574271
2024-02-29 18:36:14.495770,NodoTest001,718878,received,1709242574372
2024-02-29 18:36:14.645525,NodoTest001,718933,received,1709242574471
2024-02-29 18:36:14.675211,NodoTest001,719082,received,1709242574572
2024-02-29 18:36:14.707614,NodoTest001,719132,received,1709242574671
2024-02-29 18:36:14.862845,NodoTest001,719286,received,1709242574772
2024-02-29 18:36:14.908531,NodoTest001,719334,received,1709242574871
2024-02-29 18:36:15.007733,NodoTest001,719433,received,1709242574972
2024-02-29 18:36:15.256869,NodoTest001,719683,keepAlive,
2024-02-29 18:36:15.295677,NodoTest001,719699,received,1709242575072
2024-02-29 18:36:15.302677,NodoTest001,719711,received,1709242575171
2024-02-29 18:36:15.464115,NodoTest001,719733,received,1709242575271
2024-02-29 18:36:15.496398,NodoTest001,719902,received,1709242575372
2024-02-29 18:36:15.667689,NodoTest001,719935,received,1709242575471
2024-02-29 18:36:15.680569,NodoTest001,720106,received,1709242575572
2024-02-29 18:36:15.708037,NodoTest001,720132,received,1709242575671
2024-02-29 18:36:15.887747,NodoTest001,720311,received,1709242575772
2024-02-29 18:36:15.917824,NodoTest001,720343,received,1709242575871
2024-02-29 18:36:16.095538,NodoTest001,720515,received,1709242575972
2024-02-29 18:36:16.111048,NodoTest001,720537,received,1709242576072
2024-02-29 18:36:16.282018,NodoTest001,720683,keepAlive,
2024-02-29 18:36:16.296017,NodoTest001,720722,received,1709242576171
2024-02-29 18:36:16.486788,NodoTest001,720735,received,1709242576271
2024-02-29 18:36:16.508501,NodoTest001,720926,received,1709242576372
2024-02-29 18:36:16.520501,NodoTest001,720947,received,1709242576472
2024-02-29 18:36:16.611216,NodoTest001,721036,received,1709242576571
2024-02-29 18:36:16.707674,NodoTest001,721133,received,1709242576672
2024-02-29 18:36:16.911610,NodoTest001,721336,received,1709242576772
2024-02-29 18:36:16.929304,NodoTest001,721349,received,1709242576871
2024-02-29 18:36:17.114635,NodoTest001,721541,received,1709242576972
2024-02-29 18:36:17.307401,NodoTest001,721554,received,1709242577072
2024-02-29 18:36:17.312382,NodoTest001,721683,keepAlive,
2024-02-29 18:36:17.514341,NodoTest001,721746,received,1709242577171
2024-02-29 18:36:17.521342,NodoTest001,721759,received,1709242577272
2024-02-29 18:36:17.529336,NodoTest001,721951,received,1709242577371
2024-02-29 18:36:17.716307,NodoTest001,721964,received,1709242577472
2024-02-29 18:36:17.922723,NodoTest001,722156,received,1709242577571
2024-02-29 18:36:17.931235,NodoTest001,722168,received,1709242577672
2024-02-29 18:36:17.938234,NodoTest001,722360,received,1709242577772
2024-02-29 18:36:18.126549,NodoTest001,722373,received,1709242577871
2024-02-29 18:36:18.179971,NodoTest001,722565,received,1709242577972
2024-02-29 18:36:18.187474,NodoTest001,722577,received,1709242578071
2024-02-29 18:36:18.212570,NodoTest001,722639,received,1709242578171
2024-02-29 18:36:18.293978,NodoTest001,722683,keepAlive,
2024-02-29 18:36:18.308715,NodoTest001,722734,received,1709242578272
2024-02-29 18:36:18.406699,NodoTest001,722833,received,1709242578371
2024-02-29 18:36:18.507723,NodoTest001,722932,received,1709242578471
2024-02-29 18:36:18.608871,NodoTest001,723035,received,1709242578572
2024-02-29 18:36:18.707673,NodoTest001,723132,received,1709242578671
2024-02-29 18:36:18.810684,NodoTest001,723236,received,1709242578772
2024-02-29 18:36:18.907510,NodoTest001,723332,received,1709242578871
2024-02-29 18:36:19.008609,NodoTest001,723435,received,1709242578972
2024-02-29 18:36:19.161565,NodoTest001,723587,received,1709242579071
2024-02-29 18:36:19.206919,NodoTest001,723632,received,1709242579172
2024-02-29 18:36:19.246954,NodoTest001,723683,keepAlive,
2024-02-29 18:36:19.307255,NodoTest001,723732,received,1709242579271
2024-02-29 18:36:19.572334,NodoTest001,723998,received,1709242579372
2024-02-29 18:36:19.596280,NodoTest001,724011,received,1709242579471
2024-02-29 18:36:19.764406,NodoTest001,724034,received,1709242579572
2024-02-29 18:36:19.796052,NodoTest001,724204,received,1709242579671
2024-02-29 18:36:19.968601,NodoTest001,724235,received,1709242579771
2024-02-29 18:36:19.996174,NodoTest001,724407,received,1709242579872
2024-02-29 18:36:20.174497,NodoTest001,724434,received,1709242579971
2024-02-29 18:36:20.189192,NodoTest001,724613,received,1709242580071
2024-02-29 18:36:20.219060,NodoTest001,724645,received,1709242580172
